date,open,high,low,close,volume
2024-09-18,4.501,4.52,4.485,4.488,120358.0
2024-09-19,4.4965,4.499,4.479,4.4845,355740.0
2024-09-20,4.494,4.4981,4.4735,4.4845,403613.0
2024-09-23,4.4835,4.4895,4.475,4.4805,548148.0
2024-09-24,4.49,4.497,4.479,4.4945,400936.0
2024-09-25,4.49,4.5065,4.483,4.483,834629.0
2024-09-26,4.5,4.5,4.48,4.4865,258751.0
2024-09-27,4.5,4.5045,4.4865,4.4885,539526.0
2024-09-30,4.517,4.517,4.488,4.4915,558568.0
2024-10-01,4.503,4.504,4.4805,4.493,661231.0
2024-10-02,4.494,4.494,4.462,4.4635,444602.0
2024-10-03,4.4835,4.4835,4.45,4.459,700950.0
2024-10-04,4.4695,4.4695,4.4075,4.4075,1112314.0
2024-10-07,4.426,4.426,4.401,4.405,1078319.0
2024-10-08,4.424,4.4495,4.398,4.4055,1168153.0
2024-10-09,4.425,4.425,4.3955,4.3965,403344.0
2024-10-10,4.432,4.432,4.39,4.399,1211853.0
2024-10-11,4.4,4.4205,4.386,4.4005,149520.0
2024-10-14,4.416,4.416,4.3815,4.3815,435095.0
2024-10-15,4.4075,4.4075,4.3865,4.397,1031016.0
2024-10-16,4.419,4.419,4.4,4.409,394438.0
2024-10-17,4.398,4.4055,4.381,4.391,3085829.0
2024-10-18,4.392,4.4015,4.386,4.396,43551.0
2024-10-21,4.399,4.399,4.3655,4.3655,945307.0
2024-10-22,4.368,4.3785,4.354,4.3625,129848.0
2024-10-23,4.35,4.3535,4.33,4.3475,80154.0
2024-10-24,4.37,4.37,4.3525,4.357,21957.0
2024-10-25,4.3795,4.3795,4.357,4.3625,160518.0
2024-10-28,4.3395,4.3555,4.338,4.3475,156801.0
2024-10-29,4.356,4.356,4.326,4.3385,226026.0
2024-10-30,4.3645,4.3645,4.3405,4.3505,141522.0
2024-10-31,4.346,4.42,4.3315,4.347,232414.0
2024-11-01,4.35,4.365,4.3305,4.34,336561.0
2024-11-04,4.36,4.361,4.344,4.352,2067509.0
2024-11-05,4.384,4.384,4.3405,4.346,489392.0
2024-11-06,4.337,4.3415,4.296,4.3005,356040.0
2024-11-07,4.3245,4.341,4.303,4.3385,564830.0
2024-11-08,4.3545,4.3545,4.333,4.3405,1057360.0
2024-11-11,4.35,4.35,4.3135,4.3175,677102.0
2024-11-12,4.2905,4.321,4.2905,4.302,415737.0
2024-11-13,4.302,4.313,4.286,4.29,238279.0
2024-11-14,4.2995,4.2995,4.262,4.2965,1823170.0
2024-11-15,4.302,4.302,4.274,4.282,359302.0
2024-11-18,4.3,4.3,4.2725,4.28,673252.0
2024-11-19,4.314,4.314,4.284,4.3,255384.0
2024-11-20,4.3135,4.3135,4.2815,4.282,334542.0
2024-11-21,4.309,4.309,4.283,4.283,500721.0
2024-11-22,4.2635,4.293,4.2635,4.274,181691.0
2024-11-25,4.3,4.3175,4.285,4.3105,307342.0
2024-11-26,4.3285,4.3285,4.3,4.3,373154.0
2024-11-27,4.3385,4.343,4.32,4.343,167969.0
2024-11-28,4.314,4.354,4.314,4.34,254478.0
2024-11-29,4.376,4.376,4.3465,4.359,845884.0
2024-12-02,4.355,4.363,4.336,4.357,407334.0
2024-12-03,4.364,4.369,4.345,4.3515,102852.0
2024-12-04,4.3465,4.357,4.333,4.3495,396432.0
2024-12-05,4.3605,4.3635,4.351,4.362,68186.0
2024-12-06,4.37,4.38,4.347,4.375,1951297.0
2024-12-09,4.374,4.374,4.3615,4.3625,267125.0
2024-12-10,4.3765,4.3765,4.341,4.3565,323695.0
2024-12-11,4.3665,4.3665,4.3425,4.346,241556.0
2024-12-12,4.34,4.3455,4.3295,4.3305,316329.0
2024-12-13,4.331,4.343,4.31,4.31,176796.0
2024-12-16,4.32,4.3345,4.309,4.3125,439589.0
2024-12-17,4.3325,4.3325,4.3045,4.3055,95859.0
2024-12-18,4.3355,4.399,4.3025,4.312,201826.0
2024-12-19,4.2725,4.2755,4.2505,4.271,1277705.0
2024-12-20,4.28,4.2855,4.2605,4.2715,179968.0
2024-12-23,4.271,4.2795,4.261,4.2725,1003016.0
2024-12-24,4.2825,4.293,4.25,4.2675,159976.0
2024-12-27,4.2985,4.2985,4.252,4.2725,169846.0
2024-12-30,4.28,4.28,4.24,4.2585,363508.0
2024-12-31,4.2975,4.2975,4.259,4.2765,49153.0
2025-01-02,4.3,4.3,4.252,4.2575,149658.0
2025-01-03,4.2765,4.2765,4.248,4.2565,128830.0
2025-01-06,4.2695,4.2715,4.245,4.2515,661346.0
2025-01-07,4.2515,4.277,4.2361,4.2375,371367.0
2025-01-08,4.254,4.254,4.2165,4.231,726454.0
2025-01-09,4.207,4.239,4.204,4.229,68732.0
2025-01-10,4.24,4.24,4.1975,4.208,477764.0
