date,open,high,low,close,volume
2024-09-18,43.1,43.4375,42.805,42.87,26010481.0
2024-09-19,43.62,43.88,43.37,43.78,41025476.0
2024-09-20,43.81,43.845,43.54,43.69,33038056.0
2024-09-23,43.92,44.17,43.885,44.03,24891691.0
2024-09-24,45.155,45.64,44.99,45.53,64472676.0
2024-09-25,45.25,45.37,45.02,45.05,41967757.0
2024-09-26,46.72,46.88,46.3,46.7,80876305.0
2024-09-27,46.67,46.945,46.53,46.61,51540075.0
2024-09-30,46.35,46.375,45.745,45.86,61400537.0
2024-10-01,46.1,46.205,45.59,46.19,38648946.0
2024-10-02,47.1,47.15,46.73,47.1,55790353.0
2024-10-03,46.25,46.72,46.2,46.54,31198327.0
2024-10-04,46.88,46.99,46.675,46.97,29483871.0
2024-10-07,47.3,47.44,47.0201,47.36,42198005.0
2024-10-08,46.14,46.285,45.785,46.19,47817310.0
2024-10-09,45.58,46.06,45.525,45.94,35395829.0
2024-10-10,46.02,46.13,45.635,46.03,18052363.0
2024-10-11,45.75,46.38,45.695,46.36,28389204.0
2024-10-14,46.01,46.43,45.89,46.17,20415388.0
2024-10-15,45.75,45.78,45.08,45.19,31227548.0
2024-10-16,45.51,45.695,45.45,45.54,25111186.0
2024-10-17,45.4,45.56,45.24,45.47,36885773.0
2024-10-18,46.17,46.18,45.87,45.92,30391600.0
2024-10-21,45.54,45.705,45.34,45.6,19614867.0
2024-10-22,45.38,45.595,45.36,45.5,19243454.0
2024-10-23,45.34,45.47,45.055,45.23,19822006.0
2024-10-24,45.18,45.235,44.945,45.16,16257058.0
2024-10-25,45.31,45.455,45.05,45.12,21428467.0
2024-10-28,45.22,45.42,45.16,45.32,15169358.0
2024-10-29,45.3,45.335,45.14,45.18,15439314.0
2024-10-30,44.72,44.93,44.645,44.74,24150150.0
2024-10-31,44.6,44.6,44.19,44.45,43988772.0
2024-11-01,44.78,44.91,44.48,44.49,17525910.0
2024-11-04,44.94,45.075,44.72,44.74,24674236.0
2024-11-05,45.23,45.4059,45.1899,45.35,21398324.0
2024-11-06,44.53,44.935,44.345,44.79,37143334.0
2024-11-07,45.55,45.91,45.53,45.78,39247611.0
2024-11-08,45.01,45.09,44.4625,44.65,44833788.0
2024-11-11,44.48,44.5,44.17,44.31,21342330.0
2024-11-12,43.69,43.73,43.33,43.47,33946696.0
2024-11-13,43.515,43.53,43.1249,43.19,26586783.0
2024-11-14,43.13,43.2299,42.94,42.95,34443155.0
2024-11-15,43.09,43.12,42.85,42.95,29127824.0
2024-11-18,43.16,43.46,43.16,43.44,27785162.0
2024-11-19,43.3,43.515,43.27,43.41,16624494.0
2024-11-20,43.35,43.385,43.125,43.36,18358021.0
2024-11-21,43.22,43.31,43.07,43.27,16086867.0
2024-11-22,43.11,43.29,43.1,43.28,14104103.0
2024-11-25,43.46,43.48,43.185,43.31,18855120.0
2024-11-26,43.31,43.32,43.075,43.13,19119677.0
2024-11-27,43.39,43.44,43.03,43.19,17921965.0
2024-11-29,42.81,43.3,42.8,43.26,17372213.0
2024-12-02,43.36,43.485,43.2147,43.43,16508740.0
2024-12-03,43.26,43.55,43.1,43.52,49462532.0
2024-12-04,43.66,43.6962,43.49,43.63,21339136.0
2024-12-05,43.85,43.965,43.825,43.92,23736136.0
2024-12-06,44.03,44.06,43.79,43.85,13142374.0
2024-12-09,44.79,45.1,44.73,44.75,34841459.0
2024-12-10,44.28,44.32,44.0,44.03,26979799.0
2024-12-11,44.13,44.24,43.99,44.21,20405592.0
2024-12-12,44.055,44.22,43.93,43.99,17662981.0
2024-12-13,44.1,44.109,43.88,44.03,19381229.0
2024-12-16,43.83,43.96,43.78,43.79,32259825.0
2024-12-17,42.72,43.01,42.69,42.96,30224025.0
2024-12-18,42.9,43.01,41.88,41.96,33249481.0
2024-12-19,42.37,42.41,42.1,42.1,31146856.0
2024-12-20,41.96,42.49,41.925,42.27,25512206.0
2024-12-23,42.28,42.55,42.21,42.51,17955497.0
2024-12-24,42.51,42.67,42.455,42.64,7066781.0
2024-12-26,42.36,42.58,42.34,42.49,16152229.0
2024-12-27,42.23,42.325,42.11,42.3,22672390.0
2024-12-30,42.04,42.09,41.84,41.96,25055026.0
2024-12-31,41.94,42.04,41.785,41.82,40524003.0
2025-01-02,41.87,41.99,41.675,41.76,25287214.0
2025-01-03,42.085,42.185,41.955,42.15,17705965.0
2025-01-06,42.6,42.73,42.275,42.3,26200904.0
2025-01-07,42.46,42.47,41.955,42.0,30912455.0
2025-01-08,41.74,41.85,41.61,41.8,20257514.0
2025-01-10,41.27,41.27,41.015,41.09,42204315.0
2025-01-13,40.63,40.83,40.61,40.81,28154909.0
2025-01-14,41.34,41.39,41.14,41.27,23438554.0
2025-01-15,41.71,41.83,41.615,41.81,22557031.0
2025-01-16,41.94,41.95,41.75,41.76,17711438.0
2025-01-17,41.96,42.38,41.895,42.09,30692265.0
2025-01-21,42.46,42.6,42.2901,42.54,16728152.0
2025-01-22,42.6,42.68,42.45,42.57,16894933.0
2025-01-23,42.48,42.705,42.4,42.67,15212765.0
2025-01-24,42.91,43.05,42.75,42.95,20962770.0
2025-01-27,42.2,42.315,42.08,42.17,25964225.0
2025-01-28,42.24,42.5,41.99,42.48,22438231.0
2025-01-29,42.73,42.82,42.4398,42.49,24922391.0
2025-01-30,42.82,43.34,42.795,43.21,30450278.0
2025-01-31,43.22,43.32,42.65,42.72,29988413.0
2025-02-03,42.02,42.67,41.97,42.41,37505721.0
2025-02-04,42.94,43.31,42.875,43.17,26992857.0
2025-02-05,43.01,43.17,42.95,43.06,21829247.0
2025-02-06,43.2,43.26,43.11,43.24,19365681.0
2025-02-07,43.615,43.72,43.16,43.2,32804389.0
2025-02-10,43.62,43.72,43.51,43.72,19596704.0
2025-02-11,43.42,43.645,43.35,43.55,19596768.0
2025-02-12,43.49,43.945,43.375,43.79,19985964.0
2025-02-13,43.49,44.07,43.48,44.07,22840972.0
2025-02-14,44.36,44.41,44.1901,44.41,24329380.0
2025-02-18,44.76,44.79,44.59,44.69,23037136.0
2025-02-19,44.65,44.6858,44.52,44.62,20275247.0
2025-02-20,44.95,45.225,44.795,45.03,29210497.0
2025-02-21,45.255,45.42,44.74,44.9,33974725.0
2025-02-24,44.65,44.66,44.19,44.21,38306964.0
2025-02-25,44.35,44.37,44.06,44.24,19955547.0
2025-02-26,44.75,44.99,44.57,44.68,25170980.0
2025-02-27,44.3,44.4,43.78,43.81,30518894.0
2025-02-28,43.05,43.26,42.86,43.21,52402337.0
2025-03-03,43.46,43.595,42.6819,42.83,45587736.0
2025-03-04,42.98,43.555,42.71,43.19,30082445.0
2025-03-05,43.96,44.545,43.83,44.48,47763449.0
2025-03-06,44.45,44.635,44.155,44.2,33544539.0
2025-03-07,44.34,44.54,44.005,44.42,23474495.0
2025-03-10,43.75,43.88,43.09,43.36,28824088.0
2025-03-11,43.73,43.95,43.415,43.72,21184081.0
2025-03-12,43.91,44.02,43.625,43.96,17731649.0
2025-03-13,43.52,43.91,43.485,43.78,17870354.0
2025-03-14,44.31,44.59,44.26,44.58,21858446.0
2025-03-17,44.74,45.4,44.74,45.34,37712443.0
2025-03-18,45.25,45.28,44.9416,45.11,19974226.0
2025-03-19,45.29,45.38,45.0,45.22,31657452.0
2025-03-20,44.6,44.87,44.535,44.8,25180928.0
2025-03-21,44.44,44.65,44.4,44.58,19403829.0
