date,open,high,low,close,volume
2024-10-04,136.81,144.66,135.91,143.22,769528.88994272
2024-10-05,143.24,144.9,140.99,142.59,254513.08969454
2024-10-06,142.61,146.76,142.0,146.48,292430.25442001
2024-10-07,146.47,152.27,143.41,143.94,851581.55885668
2024-10-08,143.95,145.54,141.11,143.4,471666.75255834
2024-10-09,143.41,145.28,138.54,139.21,623382.06421698
2024-10-10,139.21,140.75,135.36,138.95,506279.96607869
2024-10-11,138.95,146.5,138.58,145.46,764441.91411324
2024-10-12,145.46,147.32,144.55,146.35,330266.11664212
2024-10-13,146.37,148.81,144.41,147.69,316947.61927177
2024-10-14,147.72,158.0,146.73,157.52,902213.8107939
2024-10-15,157.53,159.5,150.33,154.72,934991.4750973
2024-10-16,154.74,158.39,152.84,154.24,741398.15012219
2024-10-17,154.25,155.69,147.63,150.44,650125.39190184
2024-10-18,150.43,156.69,149.55,154.92,544174.39484049
2024-10-19,154.92,159.75,153.6,159.71,355583.16124401
2024-10-20,159.72,167.9,157.58,167.37,596053.82083505
2024-10-21,167.34,171.62,161.31,166.13,1045529.40756375
2024-10-22,166.07,170.98,162.95,167.48,754906.8181527
2024-10-23,167.48,174.0,164.04,170.65,911494.17776747
2024-10-24,170.65,179.12,170.27,177.07,878925.45356759
2024-10-25,177.07,177.5,159.05,164.6,1144723.72980646
2024-10-26,164.58,173.0,162.2,170.66,570609.25355061
2024-10-27,170.66,178.0,170.01,176.44,506037.66391606
2024-10-28,176.43,179.6,172.27,178.2,803622.07019516
2024-10-29,178.17,183.3,176.25,179.39,1113863.70566666
2024-10-30,179.35,181.2,173.11,174.85,678648.76800693
2024-10-31,174.82,176.46,167.31,168.43,656314.5948533
2024-11-01,168.42,173.94,163.6,166.02,730015.55723601
2024-11-02,166.0,168.55,162.01,166.12,278388.79315589
2024-11-03,166.11,166.55,157.8,162.46,583861.59074881
2024-11-04,162.43,164.92,155.01,157.86,558537.21650392
2024-11-05,157.86,169.39,156.69,166.64,671668.54225496
2024-11-06,166.63,190.07,166.42,186.76,2243358.49963578
2024-11-07,186.76,198.0,186.01,196.44,1198751.65225258
2024-11-08,196.45,205.2,195.79,199.99,1225002.61593852
2024-11-09,200.0,203.49,195.05,200.0,835480.02597322
2024-11-10,200.0,215.62,198.78,210.22,1613169.08420424
2024-11-11,210.22,225.0,204.32,222.42,1661414.86867112
2024-11-12,222.41,225.37,205.0,211.87,1648799.28235515
2024-11-13,211.88,220.84,201.0,215.46,1832889.45505781
2024-11-14,215.45,222.83,206.75,209.58,1355300.00911917
2024-11-15,209.57,220.46,204.57,218.53,1033219.42513087
2024-11-16,218.51,221.95,213.4,215.81,787937.08445797
2024-11-17,215.81,241.99,212.21,237.53,1427576.72597004
2024-11-18,237.5,248.52,234.03,239.94,1258617.06694407
2024-11-19,239.95,247.75,233.74,237.99,924355.40404945
2024-11-20,237.99,242.72,230.66,235.68,1008468.59053693
2024-11-21,235.68,259.89,230.02,256.65,1921894.24118439
2024-11-22,256.65,264.63,251.75,257.23,1102103.59217621
2024-11-23,257.23,264.32,253.01,255.12,834896.38776745
2024-11-24,255.11,260.0,241.2,253.03,707779.91649083
2024-11-25,253.03,256.82,231.16,234.18,1375320.33649702
2024-11-26,234.14,239.91,221.57,230.6,1079119.74414744
2024-11-27,230.6,243.56,227.5,242.24,890298.42856607
2024-11-28,242.24,245.49,232.89,237.65,468086.95597937
2024-11-29,237.64,246.87,236.6,243.43,715934.03369685
2024-11-30,243.43,245.43,237.61,237.74,512707.98849202
2024-12-01,237.74,240.0,234.24,236.95,610780.86276575
2024-12-02,236.92,238.5,220.03,225.79,1841742.31123324
2024-12-03,225.8,240.09,215.0,234.1,1592408.47234672
2024-12-04,234.13,240.99,224.69,229.49,1586631.62403684
2024-12-05,229.47,244.99,223.19,236.13,1965153.79171982
2024-12-06,236.13,247.1,231.11,237.21,1109218.6255132
2024-12-07,237.21,243.8,234.32,238.35,728837.23627874
2024-12-08,238.35,241.72,233.32,237.19,483284.99428694
2024-12-09,237.19,237.45,205.0,216.72,1280488.89616845
2024-12-10,216.71,221.09,203.27,213.75,1953189.3581737
2024-12-11,213.75,230.84,211.62,227.42,1207603.3773115
2024-12-12,227.42,234.79,225.61,227.0,936598.19889542
2024-12-13,226.99,228.47,220.6,224.82,1072405.1797865
2024-12-14,224.8,227.48,215.15,219.88,559460.82526156
2024-12-15,219.9,225.44,215.67,224.25,642744.58032007
2024-12-16,224.2,227.0,213.11,216.27,1017558.89816448
2024-12-17,216.27,229.03,211.5,223.2,1248306.56053773
2024-12-18,223.2,226.0,204.77,206.39,1112718.23493658
2024-12-19,206.41,212.03,186.77,193.66,1747274.71277778
2024-12-20,193.66,199.53,175.01,194.43,2121225.53658279
2024-12-21,194.44,202.14,178.36,181.34,1131558.52176477
2024-12-22,181.36,187.73,176.71,180.35,710921.33932321
2024-12-23,180.33,193.22,176.33,189.88,1014019.82010178
2024-12-24,189.88,198.93,185.86,196.95,633043.03893212
2024-12-25,196.95,201.74,194.9,197.31,459738.69583944
2024-12-26,197.33,199.59,186.42,188.24,602906.24084221
2024-12-27,188.21,194.12,182.51,183.95,598619.63547286
2024-12-28,183.94,195.71,183.55,195.15,544088.91063905
2024-12-29,195.16,197.37,188.19,189.6,513906.95541903
2024-12-30,189.6,196.22,185.54,191.01,792659.87492619
2024-12-31,191.0,198.89,187.72,188.82,925967.7320928
2025-01-01,188.82,194.99,187.6,193.84,710592.14848388
2025-01-02,193.84,210.23,193.04,208.09,964329.20200795
2025-01-03,208.1,219.69,205.43,217.93,766696.36567176
2025-01-04,217.89,218.0,213.52,216.64,391893.03611378
2025-01-05,216.64,219.0,211.47,213.35,416412.77559314
2025-01-06,213.35,223.18,211.5,218.34,674150.36408157
2025-01-07,218.33,219.23,201.75,202.13,795105.92886797
2025-01-08,202.13,203.23,188.25,197.42,1140993.85903562
2025-01-09,197.43,199.0,182.01,184.96,937653.10582914
2025-01-10,184.96,193.01,183.49,187.63,875745.66070076
2025-01-11,187.62,191.79,184.0,188.03,705428.32883268
2025-01-12,188.03,190.91,185.07,188.4,369569.99809188
2025-01-13,188.4,191.85,169.22,182.75,1244805.10686472
2025-01-14,182.76,190.05,181.77,187.49,721361.90173107
2025-01-15,187.49,206.06,185.76,205.9,1387020.60668316
2025-01-16,205.9,217.07,198.43,211.08,1369506.47434139
2025-01-17,211.13,222.0,209.82,219.56,1395546.07815907
2025-01-18,219.55,270.0,217.33,261.99,5516305.1535704
2025-01-19,261.9,295.0,237.12,252.34,6050054.05745463
2025-01-20,252.33,273.29,229.19,241.65,4344277.2031722
2025-01-21,241.7,260.24,230.0,250.32,2255050.38394053
2025-01-22,250.33,271.96,248.36,257.23,2368750.57449404
2025-01-23,257.26,258.42,241.98,253.12,2154317.72604082
2025-01-24,253.17,270.0,247.23,253.37,1759545.86898872
2025-01-25,253.35,260.76,246.25,256.36,1151007.96373647
2025-01-26,256.31,259.96,240.1,240.39,1043893.33027826
2025-01-27,240.36,242.54,220.82,234.87,2615574.21816154
2025-01-28,234.89,243.95,224.93,226.89,1561904.72853022
2025-01-29,226.91,238.44,222.57,228.16,1459592.27902413
2025-01-30,228.15,244.7,226.79,238.32,1329523.78967134
2025-01-31,238.3,241.82,228.08,231.71,1063579.72345845
2025-02-01,231.69,234.12,212.67,212.94,893867.17817633
2025-02-02,212.94,218.82,192.7,203.45,2362614.30125765
2025-02-03,203.49,218.97,176.0,216.48,3403049.09224185
2025-02-04,216.48,220.14,202.08,206.7,1863004.95036042
2025-02-05,206.73,209.47,195.15,196.13,1014816.28569775
2025-02-06,196.13,204.0,187.5,189.57,1280488.50476306
2025-02-07,189.59,203.62,188.15,192.06,1244842.74154367
2025-02-08,192.04,200.97,189.76,199.41,742109.65152245
2025-02-09,199.41,207.43,193.55,200.51,1350679.64742641
2025-02-10,200.51,209.2,195.95,200.53,863302.1814879
2025-02-11,200.51,206.22,195.06,197.93,835416.86242737
2025-02-12,197.94,198.58,188.42,196.8,1170067.38340812
2025-02-13,196.82,198.49,188.93,194.29,926182.12788275
2025-02-14,194.29,205.37,194.17,199.43,1187817.56287243
2025-02-15,199.42,200.32,192.64,194.53,571190.61517088
2025-02-16,194.53,196.25,186.01,188.29,718837.66826929
2025-02-17,188.29,189.73,174.71,177.52,1450743.57307133
2025-02-18,177.52,179.07,160.78,169.2,2226260.63764798
2025-02-19,169.23,174.26,163.67,168.89,1196184.87886389
2025-02-20,168.93,176.7,167.64,176.05,917007.67493571
2025-02-21,176.05,180.61,166.99,168.82,1171366.24625288
2025-02-22,168.82,174.67,167.98,172.08,484875.8264309
2025-02-23,172.09,173.1,166.4,167.95,417270.00943475
2025-02-24,167.95,169.65,137.77,141.79,2408160.08227549
2025-02-25,141.79,146.95,131.89,144.16,2738806.14054382
2025-02-26,144.17,144.99,130.43,135.12,2262730.94041848
2025-02-27,135.14,142.73,134.52,137.54,1530658.6361904
2025-02-28,137.55,148.61,125.36,148.09,2390526.30383456
2025-03-01,148.09,151.1,138.49,143.59,1082607.60882144
2025-03-02,143.63,180.0,139.98,178.72,3912116.25483133
2025-03-03,178.72,179.45,139.01,142.05,3429644.83052696
2025-03-04,142.05,146.92,130.66,144.78,2736629.02479889
2025-03-05,144.75,149.72,140.18,146.31,1663512.26722898
2025-03-06,146.29,152.9,142.42,143.29,1421260.82673856
2025-03-07,143.3,150.82,135.02,139.33,1915428.7783951
2025-03-08,139.31,141.0,135.22,136.95,512074.86998588
2025-03-09,136.97,139.82,124.7,126.45,1284285.93103006
2025-03-10,126.48,131.52,115.4,118.24,2238334.03390233
2025-03-11,118.25,128.41,112.0,125.34,2213069.21732193
2025-03-12,125.32,131.62,121.2,126.6,1482446.97946059
2025-03-13,126.59,128.75,120.69,123.3,1073276.23200647
2025-03-14,123.33,136.09,122.92,133.55,1302182.36634025
2025-03-15,133.52,136.56,132.45,135.91,580929.57867185
2025-03-16,135.88,136.71,125.17,126.1,978055.90256744
2025-03-17,126.09,130.65,125.53,128.03,1025031.6945347
2025-03-18,128.03,128.21,121.69,125.29,975532.7706537
2025-03-19,125.31,136.13,124.19,135.39,1341968.7686183
2025-03-20,135.38,136.18,126.6,127.5,1009769.92256164
2025-03-21,127.51,130.14,124.81,128.44,885590.32988144
2025-03-22,128.42,131.8,127.76,128.47,464308.19346897
2025-03-23,128.47,134.05,128.2,132.85,613188.84687522
2025-03-24,132.85,145.2,132.06,141.0,1932604.22885178
2025-03-25,141.02,147.6,138.16,143.69,1422841.56180904
2025-03-26,143.68,145.55,135.9,137.38,1080034.2743519
2025-03-27,137.38,140.25,135.64,138.4,894860.37793028
2025-03-28,138.39,139.02,127.67,129.44,1209093.93425125
2025-03-29,129.44,130.49,122.68,124.54,716472.93100016
2025-03-30,124.54,127.02,122.99,124.8,641248.33374517
2025-03-31,124.81,127.82,122.72,124.54,1174879.99134553
2025-04-01,124.51,130.44,123.74,126.69,1205529.0043246
2025-04-02,126.69,136.18,117.23,117.4,2567762.44970587
2025-04-03,117.41,120.94,112.22,117.12,2304500.70756478
2025-04-04,117.14,124.81,113.26,122.74,2382141.68026897
2025-04-05,122.74,122.81,115.81,120.25,819109.36365755
2025-04-06,120.25,121.05,103.71,105.82,2151166.20896226
2025-04-07,105.81,113.05,95.16,106.94,5120355.14883448
2025-04-08,106.93,112.57,102.86,105.35,2984833.09628285
2025-04-09,105.36,121.29,101.16,119.04,3290391.01997127
2025-04-10,119.02,119.29,108.31,112.75,2000442.44154555
2025-04-11,112.73,122.66,112.07,121.36,1811297.34071394
2025-04-12,121.36,134.11,119.36,132.22,1484088.66320512
2025-04-13,132.22,133.98,125.26,128.32,1323920.67804716
2025-04-14,128.32,136.0,127.89,129.39,1654796.15568471
2025-04-15,129.39,134.42,125.8,126.09,1364430.5665587
2025-04-16,126.1,133.91,123.46,131.32,1765038.35649227
2025-04-17,131.31,136.15,129.47,134.85,1601714.66844258
2025-04-18,134.85,136.0,132.46,134.03,646507.39197568
2025-04-19,134.06,140.5,133.58,139.87,1014645.79744222
2025-04-20,139.86,141.97,135.67,137.85,1176408.18548977
2025-04-21,137.86,143.13,133.82,136.56,1564200.71405678
2025-04-22,136.54,150.31,134.69,148.84,1492997.31799538
2025-04-23,148.86,154.28,147.2,151.16,1516588.94048175
2025-04-24,151.17,152.93,145.21,152.6,1008674.15133329
2025-04-25,152.61,157.08,150.01,150.91,1487061.71983895
2025-04-26,150.92,153.26,147.79,149.27,516484.93230606
2025-04-27,149.29,150.43,145.54,148.04,584717.10894757
2025-04-28,148.03,153.45,144.69,147.9,1513614.18763345
2025-04-29,147.89,150.38,145.0,146.34,952472.97735731
2025-04-30,146.33,148.7,140.4,147.56,1532494.65883959
2025-05-01,147.57,154.04,147.56,150.89,953212.99306897
2025-05-02,150.88,151.99,147.36,148.09,759828.4548522
2025-05-03,148.09,149.11,145.88,146.75,413171.54365514
2025-05-04,146.75,147.81,143.59,143.97,370375.06945002
2025-05-05,143.96,147.71,142.51,146.68,541336.80671034
2025-05-06,146.68,147.23,141.34,146.89,586984.59917673
2025-05-07,146.89,149.64,144.67,147.37,699210.64612055
2025-05-08,147.36,164.57,147.11,164.45,1701341.82101424
2025-05-09,164.44,176.14,161.02,172.8,1741502.45304632
2025-05-10,172.81,178.93,168.75,177.91,928846.23735818
2025-05-11,177.88,180.16,169.41,173.23,1133257.96673986
2025-05-12,173.22,181.45,168.3,174.22,2201877.90093897
2025-05-13,174.23,184.8,166.17,183.76,1453079.93660266
2025-05-14,183.76,184.86,173.12,176.69,1229280.71274432
2025-05-15,176.69,178.39,166.8,169.19,1371463.93439565
2025-05-16,169.18,174.28,166.43,167.48,836171.25478296
2025-05-17,167.47,170.01,164.1,166.03,753913.00899458
2025-05-18,166.01,176.83,164.7,173.39,1029017.46154813
2025-05-19,173.39,174.01,159.48,166.88,1131703.18021458
2025-05-20,166.91,173.13,164.57,168.64,933624.81842764
