date,open,high,low,close,volume
2024-09-18,80.85,81.5399,80.315,80.36,2218417.0
2024-09-19,82.11,82.69,81.82,82.35,1863559.0
2024-09-20,82.25,82.51,81.73,82.19,1247100.0
2024-09-23,82.21,82.36,81.9575,82.2,1945133.0
2024-09-24,82.45,82.645,81.63,82.6,1379003.0
2024-09-25,82.5,82.99,82.49,82.72,1284201.0
2024-09-26,83.61,83.64,82.45,82.93,1171297.0
2024-09-27,83.07,83.07,82.265,82.49,2124150.0
2024-09-30,82.29,82.96,81.99,82.94,1534218.0
2024-10-01,82.84,82.84,81.24,81.74,2293736.0
2024-10-02,81.61,82.09,81.13,81.86,1801529.0
2024-10-03,81.62,82.34,81.49,81.92,1656910.0
2024-10-04,82.81,82.88,81.98,82.84,1119770.0
2024-10-07,82.54,82.76,81.8442,81.97,1271945.0
2024-10-08,82.51,83.31,82.43,83.21,1386311.0
2024-10-09,83.24,83.86,83.05,83.79,1170275.0
2024-10-10,83.44,84.0,83.2301,83.72,1057975.0
2024-10-11,83.54,84.08,83.44,83.9,915356.0
2024-10-14,84.33,84.9099,84.28,84.71,1268129.0
2024-10-15,84.78,84.87,83.44,83.73,1413782.0
2024-10-16,83.71,83.975,83.18,83.89,1296662.0
2024-10-17,84.73,84.775,83.984,84.02,1613594.0
2024-10-18,84.46,84.65,84.29,84.48,1067389.0
2024-10-21,84.3,84.82,84.08,84.82,1559664.0
2024-10-22,84.34,85.095,84.18,84.84,1536646.0
2024-10-23,84.56,84.5729,82.9693,83.56,1415995.0
2024-10-24,83.99,84.18,83.58,84.05,1211955.0
2024-10-25,84.45,85.21,84.29,84.48,1314043.0
2024-10-28,85.17,85.17,84.5499,84.6,1345917.0
2024-10-29,84.57,85.455,84.32,85.23,8061448.0
2024-10-30,85.2,85.455,84.6399,84.86,6834586.0
2024-10-31,83.92,83.92,82.35,82.37,3189359.0
2024-11-01,82.77,83.58,82.7,82.96,2223437.0
2024-11-04,82.88,83.23,82.475,82.7,2163088.0
2024-11-05,82.94,83.92,82.94,83.84,1544937.0
2024-11-06,85.39,86.11,85.02,86.02,2195612.0
2024-11-07,86.41,87.43,86.41,87.35,2168580.0
2024-11-08,87.38,87.78,87.29,87.59,1971618.0
2024-11-11,87.78,87.87,87.03,87.48,6299889.0
2024-11-12,87.56,87.7,86.991,87.5,2893135.0
2024-11-13,87.52,87.945,87.1,87.48,1822322.0
2024-11-14,87.46,87.57,86.75,86.91,1682315.0
2024-11-15,86.13,86.14,84.79,85.16,2068988.0
2024-11-18,85.26,85.79,84.94,85.46,1761120.0
2024-11-19,84.99,86.36,84.98,86.31,1890101.0
2024-11-20,86.3,86.34,85.15,86.24,3165323.0
2024-11-21,86.83,86.89,85.2,86.3,2627437.0
2024-11-22,86.2,86.46,85.9372,86.3,1502944.0
2024-11-25,86.89,87.1,85.9433,86.37,4498039.0
2024-11-26,86.66,87.24,86.66,87.15,2313698.0
2024-11-27,86.93,86.9599,86.095,86.58,1124223.0
2024-11-29,86.69,87.44,86.6,87.36,758497.0
2024-12-02,87.49,88.195,87.47,88.04,2189608.0
2024-12-03,87.93,88.515,87.82,88.46,1707835.0
2024-12-04,89.05,89.68,89.0,89.61,1378852.0
2024-12-05,89.69,89.8696,89.46,89.55,1193533.0
2024-12-06,89.66,90.19,89.6301,90.09,1527352.0
2024-12-09,89.9,90.02,89.2801,89.57,5246000.0
2024-12-10,89.75,90.21,89.14,89.35,7036166.0
2024-12-11,89.96,90.915,89.96,90.82,1772563.0
2024-12-12,90.56,90.68,90.2,90.22,2412789.0
