date,open,high,low,close,volume
2024-09-18,118.33,119.33,117.84,117.84,39679.0
2024-09-19,119.91,120.21,119.6,119.85,28275.0
2024-09-20,119.35,119.5765,118.86,119.4,42074.0
2024-09-23,119.66,119.8783,119.53,119.72,47244.0
2024-09-24,120.03,120.11,119.605,120.05,42774.0
2024-09-25,119.61,119.84,119.2,119.41,39521.0
2024-09-26,120.37,120.4,119.57,120.08,47200.0
2024-09-27,120.31,120.4581,119.74,119.91,53212.0
2024-09-30,119.61,120.4,119.14,120.37,70725.0
2024-10-01,120.19,120.19,118.52,119.09,80061.0
2024-10-02,118.76,119.29,118.285,119.04,91820.0
2024-10-03,118.69,119.1551,118.34,118.72,64382.0
2024-10-04,119.55,119.67,118.74,119.59,61600.0
2024-10-07,119.21,119.3,118.4366,118.69,36670.0
2024-10-08,119.03,119.95,119.03,119.84,119761.0
2024-10-09,119.93,120.8,119.8675,120.72,43780.0
2024-10-10,120.2,120.68,120.0224,120.34,41087.0
2024-10-11,120.24,121.09,120.24,121.0,52841.0
2024-10-14,121.3,122.28,121.3,122.08,91991.0
2024-10-15,122.2,122.37,121.0,121.08,140424.0
2024-10-16,121.29,121.665,121.16,121.62,33979.0
2024-10-17,122.15,122.15,121.36,121.38,27530.0
2024-10-18,121.72,121.8,121.41,121.71,49930.0
2024-10-21,121.38,121.605,120.6935,121.26,52312.0
2024-10-22,120.51,121.0,120.49,120.77,65497.0
2024-10-23,120.42,120.54,119.25,119.87,86122.0
2024-10-24,120.45,120.53,119.91,120.28,47098.0
2024-10-25,120.86,121.314,120.12,120.24,79576.0
2024-10-28,120.85,120.91,120.395,120.44,70325.0
2024-10-29,120.15,120.88,120.15,120.67,74357.0
2024-10-30,120.24,120.86,120.12,120.12,54005.0
2024-10-31,119.49,119.49,118.0,118.0,42547.0
2024-11-01,118.45,119.1851,118.45,118.54,36000.0
2024-11-04,118.53,119.07,118.26,118.63,43857.0
2024-11-05,118.74,120.06,118.67,120.04,46534.0
2024-11-06,122.4,122.61,121.6028,122.48,92512.0
2024-11-07,123.0,123.93,123.0,123.73,121589.0
2024-11-08,123.95,124.8065,123.92,124.54,59850.0
2024-11-11,124.86,125.18,124.75,124.95,41413.0
2024-11-12,124.77,124.95,123.9999,124.29,55666.0
2024-11-13,124.4,124.853,124.16,124.4,60960.0
2024-11-14,124.52,124.55,123.5,123.56,37235.0
2024-11-15,122.77,122.77,121.72,121.96,39287.0
2024-11-18,122.13,122.84,121.9,122.58,72242.0
2024-11-19,121.7,122.91,121.5,122.67,152178.0
2024-11-20,122.83,123.03,122.01,123.0,43895.0
2024-11-21,123.6,124.46,122.7401,124.26,86199.0
2024-11-22,124.19,124.82,124.16,124.71,43461.0
2024-11-25,125.5,125.7059,124.8,125.15,63645.0
2024-11-26,125.29,125.705,125.0579,125.58,40032.0
2024-11-27,125.4,125.5199,124.74,124.99,61638.0
2024-11-29,125.1,125.93,125.09,125.6,34822.0
2024-12-02,125.64,126.11,125.59,126.07,39578.0
