date,open,high,low,close,volume
2024-09-18,23.87,23.97,23.83,23.84,86823.0
2024-09-19,23.82,23.875,23.8119,23.84,457299.0
2024-09-20,23.8,23.88,23.7898,23.87,150541.0
2024-09-23,23.81,23.88,23.785,23.84,130929.0
2024-09-24,23.8,23.9,23.77,23.87,162024.0
2024-09-25,23.81,23.82,23.75,23.75,108004.0
2024-09-26,23.78,23.81,23.72,23.76,75803.0
2024-09-27,23.83,23.8599,23.8013,23.84,108788.0
2024-09-30,23.85,23.85,23.7737,23.79,97310.0
2024-10-01,23.79,23.845,23.7735,23.8,149787.0
2024-10-02,23.68,23.77,23.68,23.76,116069.0
2024-10-03,23.73,23.73,23.64,23.65,188495.0
2024-10-04,23.55,23.55,23.5001,23.51,98073.0
2024-10-07,23.44,23.48,23.41,23.42,182755.0
2024-10-08,23.4,23.47,23.375,23.47,87958.0
2024-10-09,23.41,23.44,23.39,23.43,136236.0
2024-10-10,23.39,23.42,23.3572,23.41,165985.0
2024-10-11,23.4,23.45,23.3792,23.4,130400.0
2024-10-14,23.35,23.415,23.3389,23.41,70921.0
2024-10-15,23.49,23.5265,23.47,23.5,257267.0
2024-10-16,23.55,23.58,23.5301,23.56,247985.0
2024-10-17,23.52,23.52,23.4201,23.44,160655.0
2024-10-18,23.45,23.4669,23.41,23.41,245365.0
2024-10-21,23.3,23.32,23.21,23.21,122816.0
2024-10-22,23.25,23.25,23.17,23.23,113232.0
2024-10-23,23.17,23.1899,23.1201,23.15,90278.0
2024-10-24,23.19,23.24,23.16,23.21,165159.0
2024-10-25,23.25,23.266,23.15,23.16,88350.0
2024-10-28,23.17,23.19,23.1043,23.14,102619.0
2024-10-29,23.06,23.17,23.056,23.16,132958.0
2024-10-30,23.24,23.2567,23.13,23.13,126078.0
2024-10-31,23.11,23.155,23.0548,23.1,216745.0
2024-11-01,23.07,23.09,22.915,22.92,199365.0
2024-11-04,23.06,23.11,23.0005,23.04,210675.0
2024-11-05,23.05,23.14,23.0,23.14,180911.0
2024-11-06,22.97,23.03,22.905,22.95,373378.0
2024-11-07,23.07,23.1768,23.04,23.16,553655.0
2024-11-08,23.19,23.26,23.161,23.21,1764013.0
2024-11-11,23.2,23.2,23.15,23.18,250961.0
2024-11-12,23.09,23.1399,22.995,23.01,376111.0
2024-11-13,23.13,23.13,22.94,22.95,239534.0
2024-11-14,22.99,23.025,22.9247,22.94,332567.0
2024-11-15,22.9,23.0085,22.85,22.97,264279.0
2024-11-18,22.95,23.025,22.92,22.99,187582.0
2024-11-19,23.04,23.075,23.02,23.03,169787.0
2024-11-20,22.99,23.02,22.96,22.99,143866.0
2024-11-21,23.01,23.05,22.9508,22.98,171455.0
2024-11-22,22.98,23.015,22.965,22.98,142963.0
2024-11-25,23.16,23.23,23.16,23.23,300324.0
2024-11-26,23.19,23.19,23.1122,23.18,207476.0
2024-11-27,23.24,23.2699,23.185,23.24,128948.0
2024-11-29,23.34,23.37,23.32,23.37,140955.0
2024-12-02,23.35,23.35,23.1855,23.3,298518.0
2024-12-03,23.32,23.34,23.23,23.25,137036.0
2024-12-04,23.2,23.3584,23.196,23.32,204427.0
2024-12-05,23.3,23.3412,23.2614,23.32,217606.0
2024-12-06,23.39,23.41,23.335,23.38,233234.0
2024-12-09,23.34,23.35,23.32,23.32,211206.0
2024-12-10,23.29,23.33,23.275,23.31,332648.0
2024-12-11,23.32,23.36,23.245,23.26,277414.0
2024-12-12,23.2,23.2091,23.14,23.14,343736.0
2024-12-13,23.11,23.12,23.03,23.05,119111.0
2024-12-16,23.08,23.0966,23.04,23.06,234095.0
2024-12-17,23.1,23.1,23.045,23.06,178380.0
2024-12-18,22.95,23.0,22.74,22.74,312071.0
2024-12-19,22.69,22.72,22.61,22.65,399273.0
2024-12-20,22.75,22.8099,22.62,22.73,292290.0
2024-12-23,22.74,22.74,22.65,22.68,231459.0
2024-12-24,22.65,22.73,22.6399,22.72,113314.0
2024-12-26,22.67,22.76,22.65,22.76,231289.0
2024-12-27,22.71,22.7399,22.66,22.68,204898.0
2024-12-30,22.74,22.77,22.73,22.75,168155.0
2024-12-31,22.77,22.7999,22.6816,22.72,193522.0
2025-01-02,22.75,22.7999,22.68,22.72,181238.0
2025-01-03,22.73,22.75,22.6611,22.67,183307.0
2025-01-06,22.66,22.67,22.62,22.63,219563.0
2025-01-07,22.61,22.6279,22.52,22.55,178236.0
2025-01-08,22.54,22.5958,22.52,22.59,157290.0
2025-01-10,22.47,22.5298,22.4312,22.47,202266.0
2025-01-13,22.44,22.46,22.4,22.4205,600845.0
2025-01-14,22.42,22.44,22.39,22.43,156834.0
2025-01-15,22.64,22.685,22.6102,22.65,262361.0
2025-01-16,22.63,22.73,22.61,22.7,232954.0
2025-01-17,22.73,22.74,22.695,22.71,463407.0
2025-01-21,22.78,22.81,22.76,22.8,277329.0
2025-01-22,22.8,22.83,22.745,22.76,187709.0
2025-01-23,22.69,22.73,22.6705,22.725,183820.0
2025-01-24,22.73,22.7889,22.71,22.76,135397.0
2025-01-27,22.85,22.905,22.83,22.895,140631.0
2025-01-28,22.85,22.885,22.8301,22.87,178142.0
2025-01-29,22.88,22.9,22.792,22.8572,180764.0
2025-01-30,22.9,22.92,22.87,22.89,166422.0
2025-01-31,22.91,22.93,22.8,22.84,203084.0
2025-02-03,22.8,22.845,22.7403,22.78,232888.0
2025-02-04,22.72,22.84,22.72,22.82,215421.0
2025-02-05,22.9,22.98,22.9,22.95,149328.0
2025-02-06,22.94,22.9564,22.89,22.91,150206.0
2025-02-07,22.84,22.86,22.805,22.83,154103.0
2025-02-10,22.84,22.8885,22.8201,22.83,156612.0
2025-02-11,22.8,22.81,22.7761,22.79,125813.0
2025-02-12,22.68,22.7098,22.63,22.7,240030.0
2025-02-13,22.77,22.87,22.77,22.84,146862.0
2025-02-14,22.92,22.97,22.91,22.92,137200.0
2025-02-18,22.89,22.9,22.82,22.826,144560.0
2025-02-19,22.82,22.875,22.81,22.86,203197.0
2025-02-20,22.86,22.91,22.86,22.89,202797.0
2025-02-21,22.91,23.0,22.91,22.97,162043.0
2025-02-24,22.98,23.035,22.955,23.005,363353.0
2025-02-25,23.12,23.16,23.11,23.155,144033.0
2025-02-26,23.15,23.21,23.125,23.195,135947.0
2025-02-27,23.14,23.18,23.11,23.13,167363.0
2025-02-28,23.16,23.22,23.13,23.22,203744.0
2025-03-03,23.08,23.2,23.07,23.1797,259201.0
2025-03-04,23.18,23.2,23.115,23.14,270100.0
2025-03-05,23.17,23.175,23.06,23.07,248096.0
2025-03-06,23.03,23.06,22.9723,23.01,195804.0
2025-03-07,23.09,23.09,22.9601,22.99,148372.0
2025-03-10,23.06,23.109,23.03,23.053,213699.0
2025-03-11,23.04,23.045,22.92,22.925,213090.0
2025-03-12,22.95,22.95,22.86,22.87,279772.0
2025-03-13,22.8,22.94,22.7871,22.94,282241.0
2025-03-14,22.93,22.9683,22.91,22.92,283092.0
2025-03-17,22.99,23.02,22.95,22.955,165207.0
2025-03-18,22.96,23.03,22.925,22.9998,136282.0
2025-03-19,23.01,23.12,22.97,23.11,115004.0
2025-03-20,23.2,23.2,23.0718,23.09,233404.0
2025-03-21,23.09,23.1089,23.04,23.055,138607.0
2025-03-24,23.02,23.03,22.96,22.96,229731.0
2025-03-25,22.98,23.0264,22.952,22.99,427006.0
2025-03-26,22.95,22.95,22.91,22.93,191180.0
2025-03-27,22.88,22.9,22.8701,22.9,167373.0
2025-03-28,22.98,23.0284,22.9512,23.02,252332.0
2025-03-31,23.08,23.08,22.99,23.06,337269.0
2025-04-01,23.03,23.0789,23.01,23.03,163220.0
2025-04-02,23.08,23.09,22.9835,23.07,173527.0
2025-04-03,23.1,23.2,23.075,23.09,183412.0
2025-04-04,23.15,23.195,23.0135,23.06,234760.0
2025-04-07,22.91,22.92,22.65,22.71,385924.0
2025-04-08,22.72,22.74,22.405,22.44,327925.0
2025-04-09,22.18,22.75,22.18,22.74,399546.0
2025-04-10,22.55,22.66,22.41,22.43,220330.0
2025-04-11,22.37,22.46,22.15,22.43,243662.0
2025-04-14,22.55,22.585,22.49,22.54,221000.0
2025-04-15,22.55,22.6797,22.55,22.64,178790.0
2025-04-16,22.65,22.725,22.62,22.71,782244.0
2025-04-17,22.75,22.75,22.671,22.7,158268.0
2025-04-21,22.62,22.6566,22.5015,22.52,302232.0
2025-04-22,22.6,22.6268,22.54,22.56,391911.0
2025-04-23,22.84,22.87,22.635,22.65,175155.0
2025-04-24,22.75,22.84,22.7446,22.83,342907.0
2025-04-25,22.9,22.93,22.86,22.92,101613.0
2025-04-28,22.92,22.9898,22.9001,22.97,101976.0
2025-04-29,22.93,23.02,22.93,23.01,172674.0
2025-04-30,22.95,22.985,22.9,22.94,152756.0
2025-05-01,22.87,22.8807,22.7614,22.78,277181.0
2025-05-02,22.71,22.76,22.695,22.73,175993.0
2025-05-05,22.7,22.715,22.64,22.7,163804.0
2025-05-06,22.67,22.74,22.64,22.74,125077.0
2025-05-07,22.78,22.8,22.7546,22.79,116190.0
2025-05-08,22.82,22.82,22.685,22.69,190191.0
2025-05-09,22.75,22.7553,22.6809,22.69,81357.0
2025-05-12,22.65,22.7189,22.65,22.68,262314.0
2025-05-13,22.7,22.705,22.61,22.69,155200.0
2025-05-14,22.68,22.69,22.58,22.6,166852.0
2025-05-15,22.63,22.74,22.6297,22.74,118129.0
2025-05-16,22.8,22.81,22.741,22.77,102540.0
2025-05-19,22.62,22.79,22.6,22.79,170330.0
2025-05-20,22.74,22.76,22.69,22.75,2816323.0
2025-05-21,22.65,22.675,22.5202,22.54,405623.0
2025-05-22,22.56,22.64,22.49,22.62,388118.0
2025-05-23,22.68,22.68,22.6101,22.64,227889.0
2025-05-27,22.73,22.82,22.715,22.8,359945.0
2025-05-28,22.76,22.7786,22.71,22.76,176825.0
2025-05-29,22.82,22.86,22.795,22.85,125098.0
2025-05-30,22.83,22.9,22.83,22.9,93752.0
2025-06-02,22.76,22.77,22.7012,22.77,151882.0
2025-06-03,22.79,22.82,22.75,22.77,108101.0
2025-06-04,22.85,22.94,22.845,22.9,303816.0
2025-06-05,22.92,22.9284,22.845,22.85,118660.0
2025-06-06,22.78,22.8099,22.74,22.75,148405.0
2025-06-09,22.75,22.82,22.7446,22.8,134140.0
2025-06-10,22.86,22.87,22.8,22.84,177294.0
2025-06-11,22.86,22.92,22.85,22.91,190640.0
2025-06-12,22.97,23.01,22.9446,23.01,146078.0
2025-06-13,22.94,22.95,22.85,22.89,114641.0
2025-06-16,22.89,22.95,22.86,22.87,115287.0
2025-06-17,22.92,22.94,22.8791,22.92,142319.0
2025-06-18,22.97,23.0193,22.911,22.95,106936.0
2025-06-20,22.91,22.99,22.899,22.96,139044.0
2025-06-23,23.01,23.07,22.9952,23.015,310351.0
2025-06-24,22.99,23.125,22.99,23.11,133551.0
2025-06-25,23.06,23.0967,23.04,23.09,252409.0
2025-06-26,23.13,23.165,23.0709,23.16,152178.0
2025-06-27,23.12,23.19,23.11,23.12,113718.0
2025-06-30,23.19,23.25,23.171,23.23,150172.0
2025-07-01,23.15,23.17,23.1011,23.16,198399.0
2025-07-02,23.1,23.16,23.09,23.15,173758.0
2025-07-03,23.12,23.145,23.1,23.11,105515.0
2025-07-07,23.08,23.08,22.985,23.02,219947.0
2025-07-08,22.95,22.97,22.935,22.96,145670.0
2025-07-09,23.0,23.07,22.9801,23.07,128568.0
2025-07-10,23.06,23.09,23.0235,23.07,121684.0
2025-07-11,22.99,22.99,22.95,22.95,211199.0
2025-07-14,22.94,22.975,22.9216,22.96,119610.0
2025-07-15,23.0,23.0,22.8809,22.885,117699.0
2025-07-16,22.94,22.9686,22.85,22.925,205061.0
2025-07-17,22.96,22.98,22.94,22.9675,82236.0
2025-07-18,23.01,23.0191,22.985,22.9954,75902.0
2025-07-21,23.11,23.12,23.075,23.075,169961.0
2025-07-22,23.09,23.13,23.07,23.125,108958.0
2025-07-23,23.09,23.1089,23.07,23.085,104859.0
2025-07-24,23.02,23.0985,23.02,23.055,105802.0
2025-07-25,23.07,23.13,23.0552,23.125,73099.0
2025-07-28,23.09,23.11,23.07,23.085,130749.0
2025-07-29,23.1,23.21,23.1,23.205,117940.0
