date,open,high,low,close,volume
2024-09-18,117.15,118.13,116.585,116.69,1042080.0
2024-09-19,118.71,119.0924,118.08,118.76,780297.0
2024-09-20,117.96,118.18,117.37,117.9,1073077.0
2024-09-23,118.21,118.46,118.03,118.28,1003943.0
2024-09-24,118.82,119.09,118.328,119.08,1018522.0
2024-09-25,119.05,119.125,118.405,118.49,1654500.0
2024-09-26,120.13,120.18,119.45,119.96,1672582.0
2024-09-27,120.43,120.43,119.38,119.61,1873938.0
2024-09-30,119.51,119.75,118.705,119.7,892119.0
2024-10-01,119.72,119.73,118.2793,118.94,1128045.0
2024-10-02,118.97,119.255,118.37,119.12,4538780.0
2024-10-03,118.42,118.85,118.12,118.46,2657912.0
2024-10-04,119.25,119.55,118.6186,119.51,1792158.0
2024-10-07,119.32,119.38,118.43,118.79,1825689.0
2024-10-08,118.73,119.06,118.48,118.99,1076377.0
2024-10-09,118.72,119.54,118.54,119.46,1305652.0
2024-10-10,119.23,119.455,118.79,119.27,877818.0
2024-10-11,119.25,120.22,119.16,120.09,1081628.0
2024-10-14,120.155,120.82,120.02,120.69,775353.0
2024-10-15,120.51,120.535,119.255,119.45,985001.0
2024-10-16,119.74,120.14,119.58,120.04,984012.0
2024-10-17,120.56,120.6,119.97,119.98,1100769.0
2024-10-18,120.55,120.72,120.29,120.57,737855.0
2024-10-21,120.24,120.4,119.5,119.95,877646.0
2024-10-22,119.345,119.89,119.28,119.66,825339.0
2024-10-23,119.32,119.32,117.9603,118.62,1073370.0
2024-10-24,119.09,119.09,118.4,118.93,760807.0
2024-10-25,119.3,119.736,118.54,118.73,1119929.0
2024-10-28,119.38,119.575,119.24,119.35,1504769.0
2024-10-29,119.09,119.4738,118.81,119.25,764077.0
2024-10-30,118.89,119.4297,118.6299,118.81,966285.0
2024-10-31,118.14,118.14,117.025,117.09,976228.0
2024-11-01,117.76,118.34,117.45,117.56,1508701.0
2024-11-04,117.82,118.132,117.25,117.5,1424505.0
2024-11-05,117.85,118.92,117.8,118.92,782832.0
2024-11-06,120.07,120.585,119.3,120.48,1850566.0
2024-11-07,121.28,121.97,121.23,121.75,2380936.0
2024-11-08,121.3,121.56,121.085,121.41,2177424.0
2024-11-11,121.56,121.79,121.29,121.55,1076816.0
2024-11-12,121.08,121.22,120.04,120.58,1352716.0
2024-11-13,120.51,120.7299,119.95,120.33,1305918.0
2024-11-14,120.47,120.62,119.59,119.71,1021326.0
2024-11-15,119.28,119.325,118.27,118.52,1803927.0
2024-11-18,118.77,119.425,118.57,119.22,1916500.0
