,Rentabilidad_3M,Volatilidad_3M,Sharpe_3M,Sortino_3M,Calmar_3M,Drawdown_3M,VaR5_3M,Beta_3M,Rentabilidad_6M,Volatilidad_6M,Sharpe_6M,Sortino_6M,Calmar_6M,Drawdown_6M,VaR5_6M,Beta_6M,Rentabilidad_1A,Volatilidad_1A,Sharpe_1A,Sortino_1A,Calmar_1A,Drawdown_1A,VaR5_1A,Beta_1A
BTC,-0.02528059624884349,0.23578031440280356,-0.4028311920042661,-0.584185564020997,0.6118606573561536,-0.12254369389594144,-0.0287211871000974,1.0000000000000002,0.12016937088981927,0.2508069795010864,0.9497164900513684,1.5200825668885516,-2.106967042069129,-0.12254369389594177,-0.025774156313099025,1.0,0.2562030889239151,0.34933604330370843,0.7691558637304529,1.149096897212185,-1.0247397550784494,-0.2817240813472116,-0.0322231264872993,1.0000000000000016
ETH,0.3220097880032313,0.5830102589862783,2.1655033533258425,4.089818323807441,-9.020232029479827,-0.14218156103597623,-0.04162516214644811,1.7134894015723539,0.8048563267996451,0.5437574521511939,2.405278567720238,4.274323593961812,-6.360106391328504,-0.20878395171311892,-0.045581691424346704,1.5410971131967701,0.4291896694741295,0.6522082496455035,0.8368564005047577,1.3286948197431943,-0.981486217128097,-0.5764774260747458,-0.055505321681746225,1.4721402264087247
SOL,0.39292005227569904,0.6408662010303611,2.3555760395138767,4.531364714298373,-6.6496313081713705,-0.23002915451895034,-0.044570294562650416,2.013675418845599,0.4489035995035182,0.5772829610112291,1.5358481642191317,2.916795534736102,-3.3973636853519946,-0.2668595593144888,-0.05026047053031052,1.681506891636038,0.32536764705882937,0.7435858976521867,0.7187201796706206,1.1549778675416833,-0.9273184720883165,-0.5978854154738721,-0.06241604546681188,1.6532737840480485
VT,0.054931527927374546,0.09495202720850157,3.2168377165687665,7.003732297954264,-11.806331565512028,-0.02756531616811808,-0.006492997364454155,0.25585514051141567,0.11461550967322776,0.0977347393647081,3.1764609671554482,5.535869830239235,-11.987912009124955,-0.02756531616811786,-0.00912319049956955,0.1672509836832603,0.16154171961034214,0.19136829193388974,1.150357430037748,1.4693796127361207,-1.4305812526611346,-0.1678631927079125,-0.014872481241781244,0.22562958850762896
SUSA,0.04244840525328453,0.10103537782469287,2.3814551717612695,4.536422892295198,-11.316105380860531,-0.023030116305937987,-0.00733307603242,0.24313574409038302,0.08794974300400038,0.1058162490723177,2.283049898419172,3.7449092412425427,-9.316754744039049,-0.02807670523505157,-0.008399142197097269,0.14941666276381033,0.08963882987416438,0.20750027233858076,0.6194121963726036,0.8162802324683591,-0.7694966494825248,-0.19301994301994263,-0.017108425068327,0.23144669618073951
SUSC,0.029715902906281233,0.04582507889383537,3.4213339445432425,7.851409382582936,-20.144626808120712,-0.008775684931506711,-0.0027842327307479697,0.07182161547773565,0.04001759014951789,0.05113329223557639,1.9929144370245668,3.429191931726326,-8.208221271464396,-0.014851485148514754,-0.00516030082547736,0.0103648877140516,0.046923417441350423,0.06248430013474817,0.825240104304837,1.161049735002127,-2.103454252371536,-0.034022394487509766,-0.0054923382569721756,0.011173178021618446
EEM,0.08274039438910408,0.11413990883297379,3.9657582601061763,9.420153371827412,-13.641317180964284,-0.03464850791107554,-0.00740386547193312,0.3787057225330119,0.1505724778569919,0.11453092419053292,3.515527398035138,6.098100234672182,-12.197829788191667,-0.03464850791107488,-0.011354712765721938,0.2104026374125198,0.27416267942584094,0.18895572888979356,1.8677474695112317,2.499047847096442,-2.4792176892206403,-0.1504190560211729,-0.01637552312233176,0.23013309970270204
IWDA.AS,0.03042863412493424,0.10887683453061822,1.4472747088782953,1.390269195516202,-6.001223829339322,-0.0295897460332587,-0.008195705199404,0.04730529555243867,0.05428329092451434,0.10649789362025716,1.2868514515147225,1.589121022892483,-5.307479449535292,-0.02958974603325859,-0.008535460222033836,0.060822468552984954,0.004802662862580576,0.18866588143252966,0.024944845311695708,0.028767057843795584,-0.11443001363793405,-0.21590700238926608,-0.017063177026351947,-0.06149312541821431
SPYG,0.06233285332236149,0.11971032987655796,2.85362718775019,4.67599764849227,-15.564691720217013,-0.023232625386379824,-0.01097174300920384,0.2273567164394926,0.1544824502571005,0.1215453037087797,3.4023099771225627,5.943187234359165,-17.585499411371146,-0.024652970571904298,-0.01106151095269756,0.1826896881838137,0.16358720144209427,0.25880101107775066,0.9079831938505789,1.1939381243870002,-1.1458290870569274,-0.2225349063751484,-0.025274443716848033,0.3039372252597654
LQD,0.036728652049220045,0.054363274501864095,3.548692702377784,7.926286377197619,-19.40198341294639,-0.010974061309631411,-0.00373314719838666,0.0923497888454169,0.04826941066417367,0.061104836711482806,1.9907066705595122,3.33085098514053,-7.961722236201173,-0.01779034759602227,-0.0060328811650768805,0.013691484795011923,0.05707008772757849,0.07491862134951945,0.8558936327554221,1.173399745887285,-2.1051719369818813,-0.039959857677217436,-0.006261129341570625,0.015193122033281875
AGGG.L,0.027574370709383622,0.05181230994978513,2.790204477948394,7.024855059600425,-16.881506254987748,-0.009748356381772405,-0.00408021584999453,0.06952218195893223,0.027339281628920187,0.05826286677565398,1.058286121214305,1.3189972057240311,-2.657005825993835,-0.03073338511039536,-0.004416524550156759,0.00754280481435829,0.06183494916056298,0.06542182138416293,1.0786044061633135,1.4467345180442521,-2.946771547581904,-0.030733385110394362,-0.0050864246794509495,-0.011472106373436845
