date,BTC,ETH,SOL,VT,SUSA,SUSC,EEM,IWDA.AS,SPYG,LQD,AGGG.L
2024-10-04,62090.71,2414.43,143.22,119.51,119.59,23.51,46.97,97.29,82.84,111.52,4.4075
2024-10-05,62051.29,2414.51,142.59,119.51,119.59,23.51,46.97,97.29,82.84,111.52,4.4075
2024-10-06,62810.86,2439.84,146.48,119.51,119.59,23.51,46.97,97.29,82.84,111.52,4.4075
2024-10-07,62200.28,2421.68,143.94,118.79,118.69,23.42,47.36,97.59,81.97,110.95,4.405
2024-10-08,62122.02,2439.48,143.4,118.99,119.84,23.47,46.19,97.54,83.21,111.17,4.4055
2024-10-09,60578.28,2368.66,139.21,119.46,120.72,23.43,45.94,98.255,83.79,110.95,4.3965
2024-10-10,60279.53,2384.32,138.95,119.27,120.34,23.41,46.03,98.47,83.72,110.83,4.399
2024-10-11,62518.75,2438.77,145.46,120.09,121.0,23.4,46.36,98.83,83.9,110.81,4.4005
2024-10-12,63187.47,2475.79,146.35,120.09,121.0,23.4,46.36,98.83,83.9,110.81,4.4005
2024-10-13,62845.3,2467.67,147.69,120.09,121.0,23.4,46.36,98.83,83.9,110.81,4.4005
2024-10-14,66065.65,2628.74,157.52,120.69,122.08,23.41,46.17,99.625,84.71,110.82,4.3815
2024-10-15,67056.6,2606.63,154.72,119.45,121.08,23.5,45.19,99.385,83.73,111.36,4.397
2024-10-16,67608.44,2610.54,154.24,120.04,121.62,23.56,45.54,99.385,83.89,111.71,4.409
2024-10-17,67402.33,2604.91,150.44,119.98,121.38,23.44,45.47,100.235,84.02,110.88,4.391
2024-10-18,68426.11,2641.98,154.92,120.57,121.71,23.41,45.92,100.125,84.48,110.75,4.396
2024-10-19,68363.73,2647.97,159.71,120.57,121.71,23.41,45.92,100.125,84.48,110.75,4.396
2024-10-20,69014.86,2746.22,167.37,120.57,121.71,23.41,45.92,100.125,84.48,110.75,4.396
2024-10-21,67346.15,2665.35,166.13,119.95,121.26,23.21,45.6,99.715,84.82,109.62,4.3655
2024-10-22,67380.08,2620.84,167.48,119.66,120.77,23.23,45.5,99.86,84.84,109.61,4.3625
2024-10-23,66601.11,2521.94,170.65,118.62,119.87,23.15,45.23,99.495,83.56,109.24,4.3475
2024-10-24,68156.84,2533.99,177.07,118.93,120.28,23.21,45.16,99.39,84.05,109.57,4.357
2024-10-25,66564.51,2436.01,164.6,118.73,120.24,23.16,45.12,99.73,84.48,109.31,4.3625
2024-10-26,67012.56,2479.49,170.66,118.73,120.24,23.16,45.12,99.73,84.48,109.31,4.3625
2024-10-27,67943.19,2504.69,176.44,118.73,120.24,23.16,45.12,99.73,84.48,109.31,4.3625
2024-10-28,69924.5,2565.66,178.2,119.35,120.44,23.14,45.32,99.66,84.6,109.22,4.3475
2024-10-29,72724.35,2637.85,179.39,119.25,120.67,23.16,45.18,99.77,85.23,109.35,4.3385
2024-10-30,72322.91,2658.16,174.85,118.81,120.12,23.13,44.74,99.29,84.86,109.21,4.3505
2024-10-31,70197.83,2514.84,168.43,117.09,118.0,23.1,44.45,97.55,82.37,108.99,4.347
2024-11-01,69467.29,2510.27,166.02,117.56,118.54,22.92,44.49,98.31,82.96,108.01,4.34
2024-11-02,69358.94,2493.44,166.12,117.56,118.54,22.92,44.49,98.31,82.96,108.01,4.34
2024-11-03,68738.18,2456.57,162.46,117.56,118.54,22.92,44.49,98.31,82.96,108.01,4.34
2024-11-04,67807.48,2397.0,157.86,117.5,118.63,23.04,44.74,97.475,82.7,108.81,4.352
2024-11-05,69380.73,2422.24,166.64,118.92,120.04,23.14,45.35,97.99,83.84,109.33,4.346
2024-11-06,75646.55,2724.27,186.76,120.48,122.48,22.95,44.79,100.99,86.02,108.19,4.3005
2024-11-07,75920.0,2897.65,196.44,121.75,123.73,23.16,45.78,101.65,87.35,109.47,4.3385
2024-11-08,76566.73,2964.09,199.99,121.41,124.54,23.21,44.65,102.35,87.59,109.85,4.3405
2024-11-09,76716.06,3127.97,200.0,121.41,124.54,23.21,44.65,102.35,87.59,109.85,4.3405
2024-11-10,80428.92,3186.07,210.22,121.41,124.54,23.21,44.65,102.35,87.59,109.85,4.3405
2024-11-11,88770.73,3375.78,222.42,121.55,124.95,23.18,44.31,103.495,87.48,109.64,4.3175
